name,city,county,county_median_price,severity_index,beds,operator_name
Elisabeth Care Home,Pleasant Hill,Contra Costa,6800,23.833333333333332,6,Samuel D'autruche Inc.
"Above & Beyond Rcfe, Inc.",Hayward,Contra Costa,6800,18.333333333333332,6,"Above & Beyond Rcfe, Inc."
Bluegarden Care,San Ramon,Contra Costa,6800,16.666666666666668,6,Bluegarden Care Llc
Bluemeadow Care,San Ramon,Contra Costa,6800,16.166666666666668,6,"Bluemeadow Care, Llc"
La Concepcion Residential Care Home,Fremont,Contra Costa,6800,16.0,6,"Concepcion, Cristina"
George Anne Home,San Mateo,San Mateo,7800,15.833333333333334,6,"Gong, Peter"
Villa Board and Care Home,Rodeo,Contra Costa,6800,15.333333333333334,6,"Villa, Daniel D."
Graces Home,Anaheim,Riverside,5200,15.0,6,Ngoc Mai
"Roundhill Care Homes, Inc.",Alamo,Contra Costa,6800,15.0,6,"Roundhill Care Homes, Inc."
Opal Care Llc,Oakland,Alameda,7200,13.6,15,Opal Care Llc
St Joseph Senior Care,Newark,Contra Costa,6800,12.333333333333334,6,Zenaida C Bautista
Mary's Manor,Fremont,Contra Costa,6800,11.833333333333334,6,"Sunderraj, Mary"
California Mentor-marineview Home,San Leandro,Contra Costa,6800,11.75,4,"National Mentor Healthcare, Llc"
Heart and Soul Communities Ii,San Leandro,Contra Costa,6800,11.333333333333334,6,Ericka Tillis
Vanessa Care Home Ii,San Mateo,San Mateo,7800,11.166666666666666,6,Rosita Nicolas and Ida Galati
A & P Care Home for Seniors,Fremont,Contra Costa,6800,10.666666666666666,6,"A & P Joint Ventures, Inc."
Merisol Care,Fremont,Contra Costa,6800,10.5,6,"Mari, Antonia"
St. Lourdes Home,Hayward,Contra Costa,6800,10.5,6,"Balintona, Justino G."
Good Shepherd of Danville,Danville,Contra Costa,6800,9.833333333333334,6,"Senior Legacy Health Care Services, Inc"
Montgomery Springs Manor,Hayward,Contra Costa,6800,9.733333333333333,15,"Ltp Horizons, Llc"
Hartnell Home Care,Union City,Contra Costa,6800,9.666666666666666,6,"Sandajan, Maria Luz L."
Araville Residential Care Home Ii,San Bruno,San Francisco,8200,9.666666666666666,6,"Paniza, Dorie & Lamberto"
Elle's Home,Hayward,Contra Costa,6800,9.333333333333334,6,Elle's Home Llc
St. Therese Care Home Ii,Union City,Contra Costa,6800,9.166666666666666,6,St. Therese Hope Corp Dba St. Therese Care Home Ii
Ahau Boarding Care Home,San Bruno,San Francisco,8200,9.0,5,"Latu, Temaleti T."
Sandhill Assisted Living Llc,Menlo Park,San Francisco,8200,9.0,6,Sandhill Assisted Living Llc
Mori Manor,San Leandro,Contra Costa,6800,8.857142857142858,14,"Mori Manor, Llc"
K & J Residential Care Home,Fremont,Contra Costa,6800,8.666666666666666,6,"Liang, Ksai"
Charitys Residence,Oakland,Alameda,7200,8.666666666666666,6,Caridad O. Aquino
Always Tlc,Foster City,San Mateo,7800,8.333333333333334,6,Tomas L. Consunji & Christine L. Consunji
Grace Home Care - Lloyd,Livermore,Contra Costa,6800,8.166666666666666,6,Del Rosario-fajardo Corporation
Reliez Valley Care Home,Martinez,Contra Costa,6800,8.166666666666666,6,Jmel Corporation Dba Reliez Valley Care Home
Tri City Care Home,Union City,Contra Costa,6800,8.166666666666666,6,"Bvr, Inc."
New Rivershore Care Home,Bay Point,Contra Costa,6800,8.166666666666666,6,"Balancio, Aurora"
C & L Home for the Elderly,Union City,Contra Costa,6800,7.833333333333333,6,Mimj Corporation
Alamo Care Home,Alamo,Contra Costa,6800,7.666666666666667,6,Alamo Care Home Llc
Sunshine Care Home Facility Llc,San Bruno,San Francisco,8200,7.666666666666667,6,Sunshine Care Home Facility Llc
Carewell Manor,Anaheim,Riverside,5200,7.5,6,"Wilson, Carol R."
C & R Home for the Elderly,Union City,Contra Costa,6800,7.333333333333333,6,"San Miguel, Precilla & Romeo"
West Valley Care Home,Campbell,Santa Clara,7500,7.166666666666667,6,"Zhang, Biao"
