name,city,operator_name,regulation_id,reg_plain,count,max_severity,beds
Opal Care Llc,Oakland,Opal Care Llc,87468.2(a)(4),Residents' Rights — Personal Privacy,10,3,15.0
Oakland Heights Senior Living,Oakland,Pacifica Oakland Llc & Lp; Oakland Mgr Llc,87303(a),General Facility Maintenance,9,3,197.0
Whitten Heights Assisted Living and Memory Care,La Habra,Whitten Llc,87303(a),General Facility Maintenance,8,3,196.0
,,,87465(a)(4),Medications — Storage,7,3,
Opal Care Llc,Oakland,Opal Care Llc,87411(a),Staff — Direct Care Hours / Staffing Ratio,7,3,15.0
Regency Palms Long Beach,Long Beach,"Global Regency Snr Care Svcs,llc",87465(a)(4),Medications — Storage,6,3,91.0
"Roundhill Care Homes, Inc.",Alamo,"Roundhill Care Homes, Inc.",87309(a),Personnel Records — General,6,3,6.0
Brittany House,Long Beach,Brittany Healthcare Llc,87211(a)(1),Physical Plant — Clean & Sanitary,6,2,170.0
"Roundhill Care Homes, Inc.",Alamo,"Roundhill Care Homes, Inc.",87555(b)(8),Resident Records — Physician Orders,6,2,6.0
Ivy Park at Hayward,Hayward,Hayward Sr. Hsng. I Opco Llc;oakmont Mgmt Grp Llc,87309(a),Personnel Records — General,5,4,170.0
Astoria Park Senior Living,Pasadena,Astoria Park Senior Living Llc,87411(a),Staff — Direct Care Hours / Staffing Ratio,5,4,220.0
Eskaton Gold River Lodge,Gold River,Eskaton,87465(a)(1),87465(a)(1),5,4,134.0
,,,87412(d),87412(d),5,3,
Whitten Heights Assisted Living and Memory Care,La Habra,Whitten Llc,87468.1(a)(2),Residents' Rights — Dignity & Respect,5,3,196.0
Brittany House,Long Beach,Brittany Healthcare Llc,87468.1(a)(2),Residents' Rights — Dignity & Respect,5,3,170.0
Beach Terrace Assisted Living and Memory Care,Stanton,"Sal Asset Mgmt, Llc; Klmh Enterprises, Llc",87303(a),General Facility Maintenance,5,3,120.0
Belmont Village Aliso Viejo,Aliso Viejo,Bmsh I Belmont Av Gp Llc; Belmont Three Llc,87464(f)(1),Residents' Rights — Grievance Procedure,5,3,180.0
La Posada,Whittier,Posada Sl Llc,87465(c)(2),Medications — Controlled Substances,5,3,114.0
Montgomery Springs Manor,Hayward,"Ltp Horizons, Llc",87303(a),General Facility Maintenance,5,2,15.0
Opal Care Llc,Oakland,Opal Care Llc,87303(a),General Facility Maintenance,5,2,15.0
,,,87303(a),General Facility Maintenance,5,2,
Avenir Memory Care Westside,Los Angeles,"Amcla Gp Inc. ; Avenir Senior Living, Llc",87303(a),General Facility Maintenance,4,4,88.0
,,,87309(a),Personnel Records — General,4,3,
,,,87465(h)(2),Medications — Self-Administration,4,3,
Colonial Acres Residential Care Home,Hayward,"Olivarez, John Ronald",87309(a),Personnel Records — General,4,3,20.0
Montgomery Springs Manor,Hayward,"Ltp Horizons, Llc",87309(a),Personnel Records — General,4,3,15.0
Oakmont of Valencia,Valencia,"Oakmont Sr. Lvng. of Valencia Opco, Llc: Oakmont",87465(c)(2),Medications — Controlled Substances,4,3,144.0
