slug,name,city,recent_3y,total_inspections
heritage-cottage-on-6th-mn292,Heritage Cottage On 6th,Park Rapids,0,1
seven-hills-senior-living-mn1188,Seven Hills Senior Living,St. Paul,0,1
traditions-holdings-llc-mn284,Traditions Holdings Llc,Preston,0,1
adith-miller-manor-mn25,Adith Miller Manor,Winona,1,2
alex-assisted-living-llc-mn697,Alex Assisted Living Llc,Alexandria,1,1
amira-choice-roseville-at-lexi-mn931,Amira Choice Roseville at Lexi,Roseville,1,2
arbor-lakes-senior-living-llc-mn722,Arbor Lakes Senior Living Llc,Maple Grove,1,2
arbor-park-living-center-llc-mn505,Arbor Park Living Center Llc,Moorhead,1,1
arbor-terrace-mn24,Arbor Terrace,Rochester,1,1
artis-senior-lvg-of-woodbury-mn1424,Artis Senior Lvg of Woodbury,Woodbury,1,1
aurora-carefree-living-by-mn802,Aurora Carefree Living by,Aurora,1,2
autumn-cottages-mn710,Autumn Cottages,Alexandria,1,2
autumn-grace-i-mn474,Autumn Grace I,Mankato,1,2
beehive-homes-of-elk-river-mn986,Beehive Homes of Elk River,Elk River,1,2
beehive-homes-of-lakeville-mn1216,Beehive Homes of Lakeville,Lakeville,1,2
beehive-homes-of-lakeville-sou-mn2232,Beehive Homes of Lakeville Sou,Lakeville,1,1
beehive-homes-of-moorhead-mn1147,Beehive Homes of Moorhead,Moorhead,1,2
benedict-house-mn849,Benedict House,Rochester,1,2
benedictine-living-community-mn1493,Benedictine Living Community,Shakopee,1,3
benedictine-living-community-n-mn1267,Benedictine Living Community N,Northfield,1,2
bethesda-north-pointe-mn1871,Bethesda North Pointe,New London,1,2
birchview-gardens-assisted-liv-mn2416,Birchview Gardens Assisted Liv,Walker,1,1
boulder-creek-assisted-living-mn779,Boulder Creek Assisted Living,Marshall,1,2
boulder-ponds-senior-living-mn1690,Boulder Ponds Senior Living,Lake Elmo,1,2
brookdale-north-oaks-mn681,Brookdale North Oaks,North Oaks,1,2
brookdale-plymouth-mn679,Brookdale Plymouth,Plymouth,1,2
brookview-cottage-inc-mn801,Brookview Cottage Inc,Burnsville,1,2
carondelet-village-mn351,Carondelet Village,St. Paul,1,2
carriage-house-senior-living-mn1377,Carriage House Senior Living,Le Center,1,2
cedar-crest-of-silver-lake-mn299,Cedar Crest of Silver Lake,Silver Lake,1,1
cherrywood-andover-mn422,Cherrywood Andover,Andover,1,2
chestnut-grove-mn49,Chestnut Grove,Virginia,1,2
clara-city-assisted-living-mn808,Clara City Assisted Living,Clara City,1,2
clark-crossings-of-wells-mn1332,Clark Crossings of Wells,Wells,1,2
cottagewood-senior-communities-mn64,Cottagewood Senior Communities,Mankato,1,1
country-manor-apartments-mn546,Country Manor Apartments,Sartell,1,2
creekside-cottage-assisted-liv-mn221,Creekside Cottage Assisted Liv,Coon Rapids,1,2
crystal-brook-senior-living-mn1085,Crystal Brook Senior Living,Park Rapids,1,2
diamond-willow-assisted-living-mn231,Diamond Willow Assisted Living,Park Rapids,1,2
diamond-willow-assisted-living-mn257,Diamond Willow Assisted Living,Little Falls,1,2
diamond-willow-assisted-living-mn229,Diamond Willow Assisted Living,Grand Rapids,1,1
eagle-street-assisted-living-mn104,Eagle Street Assisted Living,Coon Rapids,1,2
