slug,name,city,recent_3y,total_inspections
autumn-garden-memory-rcf-50006,Autumn Garden Memory Rcf,Portland,1,11
bonaventure-of-milwaukie-memory-care-50128104,Bonaventure of Milwaukie Memory Care,Milwaukie,1,1
cascade-valley-memory-care-50448,Cascade Valley Memory Care,Milton Freewater,1,9
clearwater-beaverton-50524,Clearwater Beaverton,Beaverton,1,1
hillside-memory-support-50277,Hillside Memory Support,Mcminnville,1,25
mapleview-manor-llc-50468,Mapleview Manor Llc,Milwaukie,1,2
providence-brookside-memory-care-50262,Providence Brookside Memory Care,Hood River,1,6
wallowa-valley-senior-living-memory-care-50391,Wallowa Valley Senior Living Memory Care,Enterprise,1,2
willamette-view-memory-care-community-50271,Willamette View Memory Care Community,Portland,1,5
applegate-house-of-grants-pass-50371,Applegate House of Grants Pass,Grants Pass,2,4
aveena-memory-care-50470,Aveena Memory Care,Damascus,2,3
cogir-of-tigard-memory-care-5056903,Cogir of Tigard Memory Care,Tigard,2,2
countryside-living-memory-care-south-50380,Countryside Living Memory Care South,Canby,2,13
countryside-living-of-redmond-50426,Countryside Living of Redmond,Redmond,2,5
golden-age-memory-care-50500,Golden Age Memory Care,Milwaukie,2,5
laurel-parc-at-bethany-70312,Laurel Parc at Bethany,Portland,2,8
marquis-autumn-hills-residential-memory-care-50244,Marquis Autumn Hills Residential Memory Care,Portland,2,10
memory-support-center-at-rogue-valley-manor-50464,Memory Support Center at Rogue Valley Manor,Medford,2,4
mirabella-portland-memory-care-50517,Mirabella Portland Memory Care,Portland,2,2
pacific-living-centers-of-grants-pass-at-anique-50295,Pacific Living Centers of Grants Pass at Anique,Grants Pass,2,27
tabor-crest-residential-care-50109,Tabor Crest Residential Care,Portland,2,3
the-amber-senior-living-70287,The Amber Senior Living,Clatskanie,2,5
the-suites-memory-care-community-50462,The Suites Memory Care Community,Grants Pass,2,4
the-watermark-at-the-pearl-50522,The Watermark at the Pearl,Portland,2,2
autumn-house-of-grants-pass-50343,Autumn House of Grants Pass,Grants Pass,3,5
bartlett-house-of-medford-50407,Bartlett House of Medford,Medford,3,4
blue-haven-memory-care-dallas-50227,Blue Haven Memory Care - Dallas,Dallas,3,19
brookside-memory-care-50478,Brookside Memory Care,Tigard,3,6
columbia-place-memory-care-50219,Columbia Place Memory Care,Portland,3,14
countryside-village-lodge-50475,Countryside Village Lodge,Grants Pass,3,7
footsteps-at-sherwood-50397,Footsteps at Sherwood,Sherwood,3,7
forest-grove-beehive-memory-care-50376,Forest Grove Beehive Memory Care,Forest Grove,3,8
gateway-gardens-50304,Gateway Gardens,Eugene,3,22
marquis-hope-village-memory-care-50488,Marquis Hope Village Memory Care,Canby,3,4
merrill-gardens-at-eugene-50165,Merrill Gardens at Eugene,Eugene,3,31
pacific-living-centers-of-grants-pass-at-heidi-5255,Pacific Living Centers of Grants Pass at Heidi,Grants Pass,3,35
reflections-memory-care-50298,Reflections Memory Care,Salem,3,11
rock-of-ages-mennonite-home-50348,Rock of Ages Mennonite Home,Mcminnville,3,5
senior-haven-rcf-50384,Senior Haven Rcf,Portland,3,7
springridge-court-memory-care-50303,Springridge Court Memory Care,Wilsonville,3,5
sunset-villa-50505,Sunset Villa,Ontario,3,4
