slug,name,city,recent_3y,total_inspections
aegis-living-lake-union-2630,Aegis Living Lake Union,Seattle,1,2
aegis-living-laurelhurst-2692,Aegis Living Laurelhurst,Seattle,1,1
chandler-house-2156,Chandler House,Yakima,1,1
cogir-of-glenwood-place-2645,Cogir of Glenwood Place,Vancouver,1,1
creekside-place-2765,Creekside Place,Battle Ground,1,1
fairview-assisted-living-inc-1146,Fairview Assisted Living Inc,Spokane,1,1
gencare-lifestyle-federal-way-at-steel-lake-2484,Gencare Lifestyle Federal Way at Steel Lake,Federal Way,1,1
high-point-village-2432,High Point Village,Enumclaw,1,1
lacamas-heights-memory-care-2748,Lacamas Heights Memory Care,Camas,1,1
mustard-seed-village-2657,Mustard Seed Village,Lakebay,1,1
pioneer-place-alzheimer-residence-of-tacoma-1293,Pioneer Place Alzheimer Residence of Tacoma,Tacoma,1,1
regency-on-whidbey-1738,Regency On Whidbey,Oak Harbor,1,1
silverado-bellingham-2517,Silverado Bellingham,Bellingham,1,1
the-hampton-at-salmon-creek-memory-care-community-2227,The Hampton at Salmon Creek Memory Care Community,Vancouver,1,1
the-watermark-at-bellevue-2626,The Watermark at Bellevue,Bellevue,1,1
vineyard-park-of-mercer-island-2698,Vineyard Park of Mercer Island,Mercer Island,1,1
wellspring-centralia-llc-2685,Wellspring Centralia Llc,Centralia,1,1
white-river-assisted-living-and-memory-care-2707,White River Assisted Living and Memory Care,Enumclaw,1,1
windsong-at-southridge-2743,Windsong at Southridge,Kennewick,1,1
windsor-gardens-memory-care-2653,Windsor Gardens Memory Care,Vancouver,1,1
aegis-gardens-at-newcastle-2435,Aegis Gardens at Newcastle,Newcastle,2,2
aegis-living-kirkland-waterfront-2586,Aegis Living Kirkland Waterfront,Kirkland,2,2
aegis-living-of-west-seattle-2454,Aegis Living of West Seattle,Seattle,2,2
aegis-of-issaquah-1997,Aegis of Issaquah,Issaquah,2,2
bay-vista-commons-assisted-living-community-1983,Bay Vista Commons Assisted Living Community,Bremerton,2,3
blossom-creek-senior-alzheimer-community-2721,Blossom Creek Senior Alzheimer Community,Wenatchee,2,2
brookdale-foundation-house-1917,Brookdale Foundation House,Federal Way,2,2
brookdale-harbor-bay-1912,Brookdale Harbor Bay,Gig Harbor,2,2
brookdale-puyallup-south-1702,Brookdale Puyallup South,Puyallup,2,2
chehalis-west-retirement-center-inc-783,Chehalis West Retirement Center Inc,Chehalis,2,2
ciel-senior-living-of-the-tri-cities-memory-care-2448,Ciel Senior Living of the Tri-cities Memory Care,Kennewick,2,2
cornerstone-court-2644,Cornerstone Court,Spokane,2,2
cottages-of-sequim-2699,Cottages of Sequim,Sequim,2,2
emerald-heights-994,Emerald Heights,Redmond,2,2
fieldstone-memory-care-2646,Fieldstone Memory Care,Yakima,2,2
fieldstone-memory-care-of-olympia-2687,Fieldstone Memory Care of Olympia,Olympia,2,2
fieldstone-memory-care-of-silverdale-2583,Fieldstone Memory Care of Silverdale,Silverdale,2,2
hearthside-manor-2142,Hearthside Manor,University Place,2,2
liberty-shores-senior-living-1834,Liberty Shores Senior Living,Poulsbo,2,2
lighthouse-memory-care-2204,Lighthouse Memory Care,Anacortes,2,2
mirror-lake-village-2564,Mirror Lake Village,Federal Way,2,2
mountain-meadows-1634,Mountain Meadows,Leavenworth,2,2
northcare-fisher-2667,Northcare Fisher,Kennewick,2,2
northcare-hoxie-2664,Northcare Hoxie,Richland,2,2
northcare-olympia-2665,Northcare Olympia,Kennewick,2,2
orchard-pointe-senior-alzheimer-community-2724,Orchard Pointe Senior Alzheimer Community,Port Orchard,2,2
patriots-glen-2121,Patriots Glen,Bellevue,2,2
peters-creek-retirement-community-2245,Peters Creek Retirement Community,Redmond,2,2
silverado-bellevue-2573,Silverado - Bellevue,Bellevue,2,2
south-hill-village-assisted-living-memory-care-2478,"South Hill Village, Assisted Living & Memory Care",Spokane,2,2
spiritwood-at-pine-lake-2137,Spiritwood at Pine Lake,Issaquah,2,2
sun-terrace-prosser-1440,Sun Terrace Prosser,Prosser,2,2
sunrise-of-bellevue-2163,Sunrise of Bellevue,Bellevue,2,2
sunrise-of-edmonds-2162,Sunrise of Edmonds,Edmonds,2,2
sunshine-terrace-950,Sunshine Terrace,Spokane Valley,2,2
the-cottages-at-edgewood-2360,The Cottages at Edgewood,Edgewood,2,2
the-cottages-at-university-place-2418,The Cottages at University Place,University Place,2,2
the-cottages-of-spokane-2591,The Cottages of Spokane,Spokane,2,2
the-ridge-an-encore-community-2231,The Ridge An Encore Community,Silverdale,2,2
touchmark-on-south-hill-1004,Touchmark On South Hill,Spokane,2,2
vineyard-park-at-queen-anne-manor-2745,Vineyard Park at Queen Anne Manor,Seattle,2,2
weatherly-inn-at-lake-meridian-the-1356,"Weatherly Inn at Lake Meridian, the",Kent,2,2
white-oak-village-memory-care-community-2738,White Oak Village Memory Care Community,Vancouver,2,2
woodland-village-2512,Woodland Village,Chehalis,2,2
aegis-living-at-ravenna-2455,Aegis Living at Ravenna,Seattle,3,3
aegis-living-ballard-2689,Aegis Living Ballard,Seattle,3,3
aegis-living-bellevue-overlake-2567,Aegis Living Bellevue Overlake,Bellevue,3,3
aegis-living-callahan-house-2589,Aegis Living Callahan House,Shoreline,3,3
aegis-living-shoreline-2592,Aegis Living Shoreline,Shoreline,3,3
aegis-lodge-of-kirkland-2492,Aegis Lodge of Kirkland,Kirkland,3,3
aegis-of-bellevue-2491,Aegis of Bellevue,Bellevue,3,3
aegis-of-queen-anne-on-galer-2339,Aegis of Queen Anne On Galer,Seattle,3,3
aegis-senior-inn-of-kent-1944,Aegis Senior Inn of Kent,Kent,3,3
bridgeport-place-2427,Bridgeport Place,University Place,3,3
callaway-gardens-alzheimers-special-care-center-2511,Callaway Gardens Alzheimers Special Care Center,Kennewick,3,3
cascade-park-gardens-l-l-c-2605,"Cascade Park Gardens, L.l.c.",Tacoma,3,4
cascade-valley-senior-living-2679,Cascade Valley Senior Living,Arlington,3,3
channel-point-village-2621,Channel Point Village,Hoquiam,3,4
cogir-of-northgate-memory-care-2622,Cogir of Northgate Memory Care,Seattle,3,3
colonial-court-assisted-living-and-memory-care-2674,Colonial Court Assisted Living and Memory Care,Spokane Valley,3,3
eldorado-west-retirement-community-2140,Eldorado West Retirement Community,Burien,3,3
empress-senior-living-at-laurelhurst-2613,Empress Senior Living at Laurelhurst,Seattle,3,3
fairwood-northridge-llc-1989,Fairwood Northridge Llc,Spokane,3,3
fieldstone-memory-care-of-puyallup-2561,Fieldstone Memory Care of Puyallup,Puyallup,3,3
gencare-lifestyle-tacoma-at-point-ruston-2557,Gencare Lifestyle Tacoma at Point Ruston,Tacoma,3,3
heritage-house-buckley-2012,Heritage House Buckley,Buckley,3,3
heritage-house-morton-2010,Heritage House Morton,Morton,3,3
highland-court-memory-care-2378,Highland Court Memory Care,Port Angeles,3,3
ida-culver-house-broadview-945,Ida Culver House Broadview,Seattle,3,3
madrona-assisted-living-llc-2210,"Madrona Assisted Living, Llc",Bainbridge Island,3,3
northcare-pasco-2666,Northcare Pasco,Pasco,3,3
overlake-terrace-2551,Overlake Terrace,Redmond,3,3
prestige-senior-living-auburn-meadows-2239,Prestige Senior Living Auburn Meadows,Auburn,3,3
riverside-place-2363,Riverside Place,Hoquiam,3,3
rosewood-courte-memory-care-community-1379,Rosewood Courte Memory Care Community,Edmonds,3,3
san-juan-villa-2143,San Juan Villa,Port Townsend,3,3
the-gardens-at-town-square-1604,The Gardens at Town Square,Bellevue,3,4
vineyard-park-at-mountlake-terrace-2335,Vineyard Park at Mountlake Terrace,Mountlake Terrace,3,3
welcome-home-oak-harbor-senior-memory-care-2424,Welcome Home (oak Harbor Senior Memory Care),Oak Harbor,3,3
whispering-willows-of-mount-vernon-2726,Whispering Willows of Mount Vernon,Mount Vernon,3,3
